problemName,numCustomers,vehicleFileID_our,cutoffTime_our,problemType_our,problemTypeString_our,numUAVs_our,numTrucks_our,requireTruckAtDepot_our,requireDriver_our,Etype_our,ITER_our,runString_our,timestamp_our,ofv_our,bestBound_our,totalTime_our,isOptimal_our,numUAVcust_our,numTruckCust_our,waitingTruck_our,waitingUAV_our,vehicleFileID_their,cutoffTime_their,problemType_their,problemTypeString_their,numUAVs_their,numTrucks_their,requireTruckAtDepot_their,requireDriver_their,Etype_their,ITER_their,runString_their,timestamp_their,ofv_their,bestBound_their,totalTime_their,isOptimal_their,numUAVcust_their,numTruckCust_their,waitingTruck_their,waitingUAV_their,totalTime_diff_our_minus_their,totalTime_diff_their_minus_our,totalTime_our_improvement_percent,ofv_diff_our_minus_their,ofv_diff_their_minus_our,ofv_our_improvement_percent,waitingTruck_diff_our_minus_their,waitingTruck_diff_their_minus_our,waitingTruck_our_improvement_percent,waitingUAV_diff_our_minus_their,waitingUAV_diff_their_minus_our,waitingUAV_our_improvement_percent,numUAVcust_diff_our_minus_their,numUAVcust_diff_their_minus_our,numUAVcust_our_advantage_percent,numTruckCust_diff_our_minus_their,numTruckCust_diff_their_minus_our,numTruckCust_our_improvement_percent,totalTime_winner,ofv_winner,waitingTruck_winner,waitingUAV_winner,numUAVcust_winner,numTruckCust_winner,our_metric_wins,their_metric_wins,metric_ties
20170608T121355407419,8,101,3600.0,2, mFSTSP No-Gurobi Heuristic,3,-1,1,1,3,1, main.py 20170608T121355407419 101 3600 2 3 -1 1 1 3 1, 2026-05-12 17:23:23,1814.242974,-1.0,0.002543,0,7,1,0.0,664.92076,104,5,2, mFSTSP Heuristic,4,-1,1,1,1,1, main.py 20170608T121355407419 104 5 2 4 -1 1 1 1 1, 2019-07-03 10:12:33,2612.223287,-1.0,0.212975,0,5,3,420.0,1442.774689,-0.210432,0.210432,98.80596314121377,-797.9803129999998,797.9803129999998,30.547936578439966,-420.0,420.0,100.0,-777.8539290000001,777.8539290000001,53.91374931446416,2,-2,40.0,-2,2,66.66666666666666,our,our,our,our,our,our,6,0,0
20170608T121411132375,8,101,3600.0,2, mFSTSP No-Gurobi Heuristic,3,-1,1,1,3,1, main.py 20170608T121411132375 101 3600 2 3 -1 1 1 3 1, 2026-05-12 17:23:23,1647.467639,-1.0,0.00201,0,6,2,107.964718,139.461622,102,5,2, mFSTSP Heuristic,4,-1,1,1,1,1, main.py 20170608T121411132375 102 5 2 4 -1 1 1 1 1, 2019-07-03 10:12:37,2731.283756,-1.0,0.122831,0,5,3,420.0,1035.967769,-0.120821,0.120821,98.36360527879769,-1083.8161169999998,1083.8161169999998,39.681564195558444,-312.035282,312.035282,74.29411476190477,-896.506147,896.506147,86.53803465964779,1,-1,20.0,-1,1,33.33333333333333,our,our,our,our,our,our,6,0,0
20170608T121426910678,8,101,3600.0,2, mFSTSP No-Gurobi Heuristic,3,-1,1,1,3,1, main.py 20170608T121426910678 101 3600 2 3 -1 1 1 3 1, 2026-05-12 17:23:23,2184.455375,-1.0,0.002149,0,6,2,0.0,713.496761,102,5,2, mFSTSP Heuristic,2,-1,1,1,1,1, main.py 20170608T121426910678 102 5 2 2 -1 1 1 1 1, 2019-07-03 10:12:50,2724.455375,-1.0,0.053536,0,6,2,480.0,2562.427159,-0.051387,0.051387,95.98587866108787,-540.0,540.0,19.82047512890535,-480.0,480.0,100.0,-1848.930398,1848.930398,72.15543245809003,0,0,0.0,0,0,0.0,our,our,our,our,tie,tie,4,0,2
20170608T121442695307,8,101,3600.0,2, mFSTSP No-Gurobi Heuristic,3,-1,1,1,3,1, main.py 20170608T121442695307 101 3600 2 3 -1 1 1 3 1, 2026-05-12 17:23:23,1279.751767,-1.0,0.002491,0,7,1,0.0,371.24266,102,5,2, mFSTSP Heuristic,4,-1,1,1,1,1, main.py 20170608T121442695307 102 5 2 4 -1 1 1 1 1, 2019-07-03 10:12:59,1909.751767,-1.0,0.110303,0,7,1,540.0,3064.090947,-0.10781199999999999,0.10781199999999999,97.74167520375691,-630.0,630.0,32.98858055199799,-540.0,540.0,100.0,-2692.8482870000003,2692.8482870000003,87.88408482576284,0,0,0.0,0,0,0.0,our,our,our,our,tie,tie,4,0,2
20170608T121458174165,8,101,3600.0,2, mFSTSP No-Gurobi Heuristic,3,-1,1,1,3,1, main.py 20170608T121458174165 101 3600 2 3 -1 1 1 3 1, 2026-05-12 17:46:16,4576.025505,-1.0,20.088532,0,4,4,0.0,997.958653,104,5,2, mFSTSP Heuristic,4,-1,1,1,1,1, main.py 20170608T121458174165 104 5 2 4 -1 1 1 1 1, 2019-07-03 10:13:09,3518.420081,-1.0,0.150319,0,5,3,1325.789086,5186.016371,19.938213,-19.938213,-13263.93403362183,1057.6054239999994,-1057.6054239999994,-30.05910038176591,-1325.789086,1325.789086,100.0,-4188.057718,4188.057718,80.75673924632122,-1,1,-20.0,1,-1,-33.33333333333333,their,their,our,our,their,their,2,4,0
20170608T121529379067,8,101,3600.0,2, mFSTSP No-Gurobi Heuristic,3,-1,1,1,3,1, main.py 20170608T121529379067 101 3600 2 3 -1 1 1 3 1, 2026-05-12 17:23:23,3106.076492,-1.0,0.002145,0,6,2,0.0,678.019583,102,5,2, mFSTSP Heuristic,2,-1,1,1,1,1, main.py 20170608T121529379067 102 5 2 2 -1 1 1 1 1, 2019-07-03 10:13:11,3602.899092,-1.0,0.075841,0,3,5,240.0,1550.224463,-0.07369600000000001,0.07369600000000001,97.17171450798382,-496.82259999999997,496.82259999999997,13.789523028917513,-240.0,240.0,100.0,-872.20488,872.20488,56.26313484384745,3,-3,100.0,-3,3,60.0,our,our,our,our,our,our,6,0,0
20170608T121545140439,8,101,3600.0,2, mFSTSP No-Gurobi Heuristic,3,-1,1,1,3,1, main.py 20170608T121545140439 101 3600 2 3 -1 1 1 3 1, 2026-05-07 18:06:08,4197.586291,-1.0,0.003232,0,2,6,190.17476,127.070505,104,5,2, mFSTSP Heuristic,4,-1,1,1,1,1, main.py 20170608T121545140439 104 5 2 4 -1 1 1 1 1, 2019-07-03 10:13:22,3707.41601,-1.0,0.181297,0,6,2,420.0,2567.222504,-0.178065,0.178065,98.21728986138766,490.1702809999997,-490.1702809999997,-13.221345532248478,-229.82524,229.82524,54.72029523809524,-2440.1519989999997,2440.1519989999997,95.0502730167716,-4,4,-66.66666666666666,4,-4,-200.0,our,their,our,our,their,their,3,3,0
20170608T121601152699,8,101,3600.0,2, mFSTSP No-Gurobi Heuristic,3,-1,1,1,3,1, main.py 20170608T121601152699 101 3600 2 3 -1 1 1 3 1, 2026-05-12 17:23:23,2774.901229,-1.0,0.002051,0,6,2,0.0,932.42371,102,5,2, mFSTSP Heuristic,2,-1,1,1,1,1, main.py 20170608T121601152699 102 5 2 2 -1 1 1 1 1, 2019-07-03 10:13:24,3225.33907,-1.0,0.04197,0,6,2,480.0,3044.096588,-0.039919,0.039919,95.11317607815106,-450.43784099999993,450.43784099999993,13.965596522538634,-480.0,480.0,100.0,-2111.672878,2111.672878,69.36944400267498,0,0,0.0,0,0,0.0,our,our,our,our,tie,tie,4,0,2
20170608T121616676866,8,101,3600.0,2, mFSTSP No-Gurobi Heuristic,3,-1,1,1,3,1, main.py 20170608T121616676866 101 3600 2 3 -1 1 1 3 1, 2026-05-12 17:23:23,2923.960216,-1.0,0.002268,0,5,3,0.0,810.842849,102,5,2, mFSTSP Heuristic,3,-1,1,1,1,1, main.py 20170608T121616676866 102 5 2 3 -1 1 1 1 1, 2019-07-03 10:13:32,3201.725593,-1.0,0.078765,0,6,2,450.0,2247.884716,-0.076497,0.076497,97.12054846695867,-277.76537700000017,277.76537700000017,8.67548979235711,-450.0,450.0,100.0,-1437.041867,1437.041867,63.92862840213377,-1,1,-16.666666666666664,1,-1,-50.0,our,our,our,our,their,their,4,2,0
20170608T121944818056,8,101,3600.0,2, mFSTSP No-Gurobi Heuristic,3,-1,1,1,3,1, main.py 20170608T121944818056 101 3600 2 3 -1 1 1 3 1, 2026-05-12 17:23:23,655.809033,-1.0,0.002151,0,6,2,168.591795,0.0,101,5,2, mFSTSP Heuristic,3,-1,1,1,1,1, main.py 20170608T121944818056 101 5 2 3 -1 1 1 1 1, 2019-07-03 10:13:38,993.152066,-1.0,0.068925,0,4,4,270.0,341.674231,-0.066774,0.066774,96.87921653971708,-337.343033,337.343033,33.96690643344037,-101.40820500000001,101.40820500000001,37.55859444444445,-341.674231,341.674231,100.0,2,-2,50.0,-2,2,50.0,our,our,our,our,our,our,6,0,0
