problemName,customerCount,status,vehicleFileID,cutoffTime,problemType,numUAVs,numTrucks,requireTruckAtDepot,requireDriver,Etype,ITER,runtimeSecondsByRunner,returncode,objective,totalTime,truckWaitingTime,uavWaitingTime,numTruckCustomers,numUAVCustomers,truckRoute,uavSorties
20170606T114000833192,50,solved,101,3600,2,3,-1,1,1,3,1,2.5562808513641357,0,13037.160587,2.520946,377.798689,2794.366409,24.0,26.0,"[0, 16, 33, 32, 34, 3, 48, 17, 44, 47, 28, 13, 41, 40, 22, 43, 24, 21, 42, 27, 12, 26, 5, 19, 29, 0]","[(2, 3, 1, 48), (2, 27, 23, 12), (2, 48, 15, 17), (2, 32, 8, 34), (2, 12, 10, 26), (2, 33, 25, 32), (3, 27, 30, 12), (2, 34, 11, 3), (2, 42, 31, 27), (2, 44, 37, 47), (3, 44, 50, 47), (4, 44, 36, 47), (2, 28, 18, 13), (3, 32, 9, 34), (2, 40, 2, 22), (3, 28, 14, 13), (2, 41, 6, 40), (4, 28, 39, 13), (3, 42, 35, 27), (3, 34, 46, 3), (2, 47, 38, 28), (3, 33, 4, 32), (4, 33, 45, 32), (2, 29, 7, 0), (3, 47, 20, 28), (4, 47, 49, 28)]"
20170606T114145593946,50,solved,101,3600,2,3,-1,1,1,3,1,2.613765001296997,0,12957.707476,2.577352,292.16234,1244.087578,27.0,23.0,"[0, 36, 1, 19, 43, 2, 24, 5, 10, 21, 23, 50, 8, 26, 37, 9, 3, 47, 18, 30, 31, 17, 46, 39, 20, 7, 11, 41, 0]","[(2, 3, 15, 47), (2, 2, 40, 24), (2, 1, 33, 19), (2, 20, 4, 7), (2, 47, 25, 18), (3, 2, 38, 24), (2, 24, 44, 5), (2, 26, 28, 37), (3, 20, 29, 7), (2, 36, 42, 1), (2, 17, 6, 46), (3, 47, 16, 18), (4, 20, 14, 7), (3, 36, 27, 1), (3, 17, 34, 46), (3, 1, 45, 19), (4, 36, 22, 1), (4, 17, 35, 46), (3, 3, 12, 47), (2, 5, 13, 10), (4, 3, 48, 47), (3, 5, 49, 10), (4, 5, 32, 10)]"
20170606T114330252507,50,solved,101,3600,2,3,-1,1,1,3,1,2.840423107147217,0,13049.543602,2.805046,1071.134852,1987.949158,23.0,27.0,"[0, 45, 46, 11, 35, 2, 39, 23, 17, 38, 50, 16, 15, 14, 4, 8, 48, 37, 13, 20, 26, 34, 49, 24, 0]","[(2, 17, 47, 38), (2, 23, 22, 17), (2, 8, 36, 48), (3, 23, 9, 17), (4, 23, 10, 17), (2, 11, 5, 35), (2, 45, 32, 46), (2, 35, 44, 2), (3, 8, 29, 48), (2, 16, 3, 15), (4, 8, 28, 48), (3, 35, 33, 2), (4, 35, 41, 2), (3, 17, 40, 38), (3, 16, 1, 15), (2, 34, 42, 49), (3, 45, 18, 46), (2, 46, 43, 11), (2, 26, 19, 34), (4, 17, 6, 38), (3, 46, 25, 11), (4, 46, 12, 11), (4, 45, 27, 46), (4, 16, 21, 15), (2, 2, 30, 39), (3, 2, 7, 39), (4, 2, 31, 39)]"
20170606T114511221132,50,solved,101,3600,2,3,-1,1,1,3,1,2.3334200382232666,0,11879.9971,2.297588,408.329214,2702.091136,18.0,32.0,"[0, 49, 9, 37, 34, 11, 3, 15, 41, 2, 40, 1, 22, 47, 35, 7, 24, 14, 32, 0]","[(2, 35, 16, 7), (2, 9, 25, 37), (2, 22, 6, 47), (2, 41, 18, 2), (2, 1, 20, 22), (2, 49, 29, 9), (2, 32, 42, 0), (3, 49, 26, 9), (3, 9, 13, 37), (2, 47, 4, 35), (3, 41, 10, 2), (3, 35, 28, 7), (4, 49, 27, 9), (2, 15, 38, 41), (3, 47, 5, 35), (3, 22, 12, 47), (4, 47, 21, 35), (4, 41, 39, 2), (2, 2, 46, 40), (4, 22, 50, 47), (2, 0, 43, 49), (4, 35, 31, 7), (3, 32, 48, 0), (3, 2, 23, 40), (3, 1, 33, 22), (4, 2, 19, 40), (4, 1, 17, 22), (4, 32, 8, 0), (3, 15, 44, 41), (2, 24, 45, 14), (2, 40, 36, 1), (3, 40, 30, 1)]"
20170606T114654882472,50,solved,101,3600,2,3,-1,1,1,3,1,2.745245933532715,0,14003.369121,2.709548,179.276987,1718.039808,29.0,21.0,"[0, 43, 45, 15, 16, 50, 12, 32, 24, 28, 29, 25, 31, 4, 48, 5, 39, 23, 30, 1, 35, 9, 11, 36, 7, 26, 6, 18, 2, 21, 0]","[(2, 30, 8, 1), (2, 26, 44, 6), (2, 23, 47, 30), (2, 28, 20, 29), (3, 23, 22, 30), (2, 36, 34, 7), (2, 1, 17, 35), (3, 36, 14, 7), (2, 11, 46, 36), (4, 36, 49, 7), (3, 11, 33, 36), (3, 26, 3, 6), (2, 12, 41, 32), (3, 30, 38, 1), (2, 7, 19, 26), (4, 26, 42, 6), (3, 28, 27, 29), (4, 28, 37, 29), (3, 12, 10, 32), (2, 32, 40, 24), (2, 24, 13, 28)]"
20170606T114840930461,50,solved,101,3600,2,3,-1,1,1,3,1,2.3977878093719482,0,13469.611729,2.361621,522.652239,1753.926765,22.0,28.0,"[0, 34, 45, 50, 32, 37, 19, 24, 15, 9, 38, 14, 25, 31, 43, 6, 4, 2, 22, 47, 21, 16, 40, 0]","[(2, 45, 1, 50), (3, 45, 18, 50), (2, 37, 7, 19), (2, 50, 27, 32), (2, 22, 41, 47), (2, 40, 28, 0), (3, 40, 12, 0), (2, 16, 20, 40), (2, 14, 26, 25), (4, 45, 49, 50), (2, 25, 36, 31), (3, 14, 23, 25), (2, 9, 17, 38), (3, 22, 8, 47), (2, 47, 39, 21), (3, 9, 35, 38), (3, 37, 48, 19), (3, 47, 11, 21), (4, 37, 10, 19), (4, 47, 13, 21), (4, 14, 3, 25), (3, 50, 44, 32), (4, 50, 33, 32), (2, 6, 46, 4), (3, 6, 30, 4), (4, 9, 29, 38), (2, 4, 5, 2), (3, 25, 42, 31)]"
20170606T115303341654,50,solved,101,3600,2,3,-1,1,1,3,1,3.8660900592803955,0,12684.807584,3.829752,222.254367,1539.337189,22.0,28.0,"[0, 23, 20, 40, 7, 30, 17, 8, 4, 27, 18, 15, 50, 1, 32, 31, 33, 9, 43, 2, 16, 13, 24, 0]","[(2, 43, 14, 2), (2, 1, 45, 32), (3, 1, 46, 32), (2, 16, 38, 13), (2, 20, 26, 40), (3, 20, 28, 40), (3, 16, 25, 13), (2, 2, 36, 16), (2, 15, 39, 50), (2, 30, 49, 17), (2, 32, 21, 31), (3, 43, 10, 2), (4, 1, 22, 32), (2, 40, 42, 7), (4, 20, 11, 40), (2, 27, 3, 18), (3, 15, 37, 50), (2, 0, 12, 23), (2, 7, 29, 30), (4, 15, 41, 50), (3, 2, 44, 16), (3, 7, 19, 30), (3, 40, 47, 7), (2, 33, 34, 9), (3, 32, 6, 31), (2, 31, 48, 33), (4, 32, 35, 31), (2, 50, 5, 1)]"
20170606T123441157583,50,solved,101,3600,2,3,-1,1,1,3,1,1.6429858207702637,0,9838.288489,1.607525,897.786655,2368.297375,18.0,32.0,"[0, 27, 15, 12, 37, 32, 35, 8, 17, 20, 42, 33, 9, 26, 14, 10, 22, 16, 7, 0]","[(2, 27, 23, 15), (2, 37, 40, 32), (2, 26, 1, 14), (2, 0, 4, 27), (2, 9, 45, 26), (2, 12, 3, 37), (3, 26, 6, 14), (2, 17, 31, 20), (3, 0, 44, 27), (2, 33, 30, 9), (3, 33, 48, 9), (3, 9, 46, 26), (2, 32, 24, 35), (3, 12, 50, 37), (4, 12, 13, 37), (3, 17, 43, 20), (4, 9, 5, 26), (2, 16, 49, 7), (2, 8, 11, 17), (4, 33, 47, 9), (4, 26, 36, 14), (2, 15, 21, 12), (3, 37, 18, 32), (2, 10, 29, 22), (3, 10, 28, 22), (4, 10, 19, 22), (3, 16, 39, 7), (4, 16, 38, 7), (4, 0, 2, 27), (2, 22, 25, 16), (3, 22, 34, 16), (4, 22, 41, 16)]"
20170606T123513473544,50,solved,101,3600,2,3,-1,1,1,3,1,2.0225961208343506,0,9084.232993,1.986925,447.244231,1992.767319,19.0,31.0,"[0, 21, 48, 43, 4, 35, 10, 40, 28, 45, 16, 27, 25, 1, 5, 14, 19, 11, 22, 31, 0]","[(2, 11, 36, 22), (2, 40, 6, 28), (2, 28, 34, 45), (2, 4, 2, 35), (3, 4, 20, 35), (4, 4, 23, 35), (2, 14, 33, 19), (3, 14, 37, 19), (2, 1, 13, 5), (3, 40, 49, 28), (4, 40, 44, 28), (2, 21, 26, 48), (2, 16, 12, 27), (2, 27, 50, 25), (4, 14, 39, 19), (3, 1, 17, 5), (2, 35, 30, 10), (3, 27, 47, 25), (2, 43, 9, 4), (4, 27, 7, 25), (3, 43, 8, 4), (4, 1, 18, 5), (2, 10, 32, 40), (3, 10, 24, 40), (2, 5, 3, 14), (3, 5, 46, 14), (3, 35, 29, 10), (3, 28, 15, 45), (4, 43, 41, 4), (4, 35, 42, 10), (4, 10, 38, 40)]"
20170606T123545699742,50,solved,101,3600,2,3,-1,1,1,3,1,2.289491891860962,0,9335.850649,2.252694,644.731379,3642.322256,16.0,34.0,"[0, 49, 8, 29, 48, 6, 24, 16, 15, 46, 30, 31, 50, 41, 32, 44, 10, 0]","[(2, 48, 38, 6), (2, 32, 13, 44), (2, 29, 27, 48), (2, 31, 20, 50), (2, 30, 45, 31), (2, 46, 22, 30), (2, 41, 34, 32), (3, 29, 21, 48), (3, 32, 33, 44), (3, 31, 35, 50), (4, 31, 37, 50), (2, 24, 1, 16), (3, 30, 40, 31), (4, 30, 3, 31), (3, 48, 14, 6), (3, 24, 42, 16), (4, 29, 4, 48), (2, 16, 2, 15), (3, 41, 19, 32), (4, 24, 39, 16), (4, 48, 5, 6), (4, 41, 43, 32), (3, 46, 9, 30), (2, 15, 7, 46), (3, 15, 25, 46), (4, 46, 23, 30), (4, 32, 26, 44), (2, 8, 11, 29), (3, 8, 18, 29), (2, 50, 36, 41), (2, 6, 47, 24), (4, 15, 17, 46), (4, 8, 12, 29), (3, 6, 28, 24)]"
